titleId,ordering,title,region,language,types,attributes,isOriginalTitle,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0000012,7,L'arrivée d'un train à La Ciotat,\N,\N,original,\N,1,tt0000012,short,The Arrival of a Train,L'arrivée d'un train à La Ciotat,0.0,1896,\N,1,"Action,Documentary,Short",7.4,9435.0
tt0000582,4,Ben Hur,\N,\N,original,\N,1,tt0000582,short,Ben Hur,Ben Hur,0.0,1907,\N,15,"Drama,Short",5.1,555.0
tt0001013,1,The Red Man's View,\N,\N,original,\N,1,tt0001013,short,The Red Man's View,The Red Man's View,0.0,1909,\N,14,"Short,Western",5.9,283.0
tt0011545,8,Oranges and Lemons,\N,\N,original,\N,1,tt0011545,short,Oranges and Lemons,Oranges and Lemons,0.0,1923,\N,12,"Comedy,Short",5.8,367.0
tt0013951,7,The Covered Wagon,\N,\N,original,\N,1,tt0013951,movie,The Covered Wagon,The Covered Wagon,0.0,1923,\N,98,"Adventure,Romance,Western",6.5,470.0
tt0014416,1,Rosita,\N,\N,original,\N,1,tt0014416,movie,Rosita,Rosita,0.0,1923,\N,90,"Comedy,Romance",6.5,252.0
tt0014497,4,Souls for Sale,\N,\N,original,\N,1,tt0014497,movie,Souls for Sale,Souls for Sale,0.0,1923,\N,90,"Comedy,Drama,Romance",7.0,770.0
tt0015175,11,Die Nibelungen: Siegfried,\N,\N,original,\N,1,tt0015175,movie,Die Nibelungen: Siegfried,Die Nibelungen: Siegfried,0.0,1924,\N,143,"Adventure,Drama,Fantasy",8.1,4801.0
tt0015648,41,Bronenosets Potemkin,\N,\N,original,\N,1,tt0015648,movie,Battleship Potemkin,Bronenosets Potemkin,0.0,1925,\N,75,"Drama,History,Thriller",8.0,49224.0
tt0016461,9,Tumbleweeds,\N,\N,original,\N,1,tt0016461,movie,Tumbleweeds,Tumbleweeds,0.0,1925,\N,78,Western,6.5,511.0
tt0016847,20,Faust: Eine deutsche Volkssage,\N,\N,original,\N,1,tt0016847,movie,Faust,Faust: Eine deutsche Volkssage,0.0,1926,\N,107,"Drama,Fantasy,Horror",8.1,13010.0
tt0017668,13,Berlin - Die Sinfonie der Großstadt,\N,\N,original,\N,1,tt0017668,movie,Berlin: Symphony of a Great City,Berlin - Die Sinfonie der Großstadt,0.0,1927,\N,65,Documentary,7.6,3586.0
tt0018528,21,The Unknown,\N,\N,original,\N,1,tt0018528,movie,The Unknown,The Unknown,0.0,1927,\N,63,"Drama,Horror,Romance",7.8,6657.0
tt0018909,13,Four Sons,\N,\N,original,\N,1,tt0018909,movie,Four Sons,Four Sons,0.0,1928,\N,100,"Drama,War",7.1,580.0
tt0021287,3,Reaching for the Moon,\N,\N,original,\N,1,tt0021287,movie,Reaching for the Moon,Reaching for the Moon,0.0,1930,\N,91,"Comedy,Romance",5.6,320.0
tt0021339,7,School's Out,\N,\N,original,\N,1,tt0021339,short,School's Out,School's Out,0.0,1930,\N,20,"Comedy,Family,Short",7.3,331.0
tt0021645,1,The Beach Party,\N,\N,original,\N,1,tt0021645,short,The Beach Party,The Beach Party,0.0,1931,\N,8,"Animation,Comedy,Family",6.7,306.0
tt0022251,32,Pardon Us,\N,\N,original,\N,1,tt0022251,movie,Pardon Us,Pardon Us,0.0,1931,\N,56,"Comedy,Crime,Drama",7.0,2005.0
tt0023002,6,Die Herrin von Atlantis,\N,\N,original,\N,1,tt0023002,movie,Queen of Atlantis,Die Herrin von Atlantis,0.0,1932,\N,87,"Fantasy,Sci-Fi",6.1,494.0
tt0023125,2,Lawyer Man,\N,\N,original,\N,1,tt0023125,movie,Lawyer Man,Lawyer Man,0.0,1932,\N,72,"Drama,Romance",6.6,594.0
tt0023271,4,Night World,\N,\N,original,\N,1,tt0023271,movie,Night World,Night World,0.0,1932,\N,58,Drama,6.9,301.0
tt0023385,5,Red-Headed Woman,\N,\N,original,\N,1,tt0023385,movie,Red-Headed Woman,Red-Headed Woman,0.0,1932,\N,79,"Comedy,Romance",7.0,2478.0
tt0023594,6,Tiger Shark,\N,\N,original,\N,1,tt0023594,movie,Tiger Shark,Tiger Shark,0.0,1932,\N,77,"Drama,Romance",6.4,718.0
tt0023960,6,Double Harness,\N,\N,original,\N,1,tt0023960,movie,Double Harness,Double Harness,0.0,1933,\N,69,"Comedy,Drama",6.8,959.0
tt0024414,2,One Sunday Afternoon,\N,\N,original,\N,1,tt0024414,movie,One Sunday Afternoon,One Sunday Afternoon,0.0,1933,\N,85,"Comedy,Romance",6.6,515.0
tt0024951,8,The Captain Hates the Sea,\N,\N,original,\N,1,tt0024951,movie,The Captain Hates the Sea,The Captain Hates the Sea,0.0,1934,\N,93,Comedy,6.4,644.0
tt0025094,9,Evergreen,\N,\N,original,\N,1,tt0025094,movie,Evergreen,Evergreen,0.0,1934,\N,94,"Comedy,Musical,Romance",6.7,465.0
tt0025911,6,Tri pesni o Lenine,\N,\N,original,\N,1,tt0025911,movie,Three Songs About Lenin,Tri pesni o Lenine,0.0,1934,\N,61,Documentary,6.5,604.0
tt0026055,2,Alibi Ike,\N,\N,original,\N,1,tt0026055,movie,Alibi Ike,Alibi Ike,0.0,1935,\N,72,"Comedy,Romance,Sport",6.1,564.0
tt0026508,1,I Found Stella Parish,\N,\N,original,\N,1,tt0026508,movie,I Found Stella Parish,I Found Stella Parish,0.0,1935,\N,85,"Drama,Romance",6.8,332.0
tt0026908,1,Rainbow Valley,\N,\N,original,\N,1,tt0026908,movie,Rainbow Valley,Rainbow Valley,0.0,1935,\N,52,"Action,Romance,Western",5.5,505.0
tt0027624,3,Rocket Ship,\N,\N,original,\N,1,tt0027624,movie,Rocket Ship,Rocket Ship,0.0,1936,\N,72,Sci-Fi,6.7,513.0
tt0027665,3,General Spanky,\N,\N,original,\N,1,tt0027665,movie,General Spanky,General Spanky,0.0,1936,\N,71,"Comedy,Family,War",6.1,336.0
tt0028291,1,Speed,\N,\N,original,\N,1,tt0028291,movie,Speed,Speed,0.0,1936,\N,70,"Action,Drama,Romance",6.0,392.0
tt0028346,11,Tell Your Children,\N,\N,original,\N,1,tt0028346,movie,Reefer Madness,Tell Your Children,0.0,1936,\N,66,"Crime,Drama",3.8,7400.0
tt0028367,9,Three Godfathers,\N,\N,original,\N,1,tt0028367,movie,Three Godfathers,Three Godfathers,0.0,1936,\N,81,"Action,Drama,Western",7.3,551.0
tt0028669,5,Bulldog Drummond at Bay,\N,\N,original,\N,1,tt0028669,movie,Bulldog Drummond at Bay,Bulldog Drummond at Bay,0.0,1937,\N,78,"Action,Comedy,Drama",6.1,281.0
tt0028785,3,Dick Tracy,\N,\N,original,\N,1,tt0028785,movie,Dick Tracy,Dick Tracy,0.0,1937,\N,290,"Action,Comedy,Crime",6.7,521.0
tt0028818,6,The Edge of the World,\N,\N,original,\N,1,tt0028818,movie,The Edge of the World,The Edge of the World,0.0,1937,\N,81,"Drama,History,Romance",7.3,1515.0
tt0029237,5,Mickey's Amateurs,\N,\N,original,\N,1,tt0029237,short,Mickey's Amateurs,Mickey's Amateurs,0.0,1937,\N,8,"Animation,Comedy,Family",6.6,438.0
tt0029401,4,Pick a Star,\N,\N,original,\N,1,tt0029401,movie,Pick a Star,Pick a Star,0.0,1937,\N,76,"Comedy,Musical",5.7,298.0
tt0030729,1,Self Control,\N,\N,original,\N,1,tt0030729,short,Self Control,Self Control,0.0,1938,\N,9,"Animation,Comedy,Family",6.9,599.0
tt0030856,15,There Goes My Heart,\N,\N,original,\N,1,tt0030856,movie,There Goes My Heart,There Goes My Heart,0.0,1938,\N,83,"Comedy,Romance",6.7,520.0
tt0031064,7,The Autograph Hound,\N,\N,original,\N,1,tt0031064,short,The Autograph Hound,The Autograph Hound,0.0,1939,\N,8,"Animation,Comedy,Family",7.2,575.0
tt0031657,4,Miracles for Sale,\N,\N,original,\N,1,tt0031657,movie,Miracles for Sale,Miracles for Sale,0.0,1939,\N,71,"Crime,Mystery",6.3,481.0
tt0032326,2,Charlie Chan's Murder Cruise,\N,\N,original,\N,1,tt0032326,movie,Charlie Chan's Murder Cruise,Charlie Chan's Murder Cruise,0.0,1940,\N,76,"Comedy,Crime,Mystery",7.3,1129.0
tt0032410,20,Down Argentine Way,\N,\N,original,\N,1,tt0032410,movie,Down Argentine Way,Down Argentine Way,0.0,1940,\N,89,"Comedy,Drama,Musical",6.5,888.0
tt0032432,8,"Edison, the Man",\N,\N,original,\N,1,tt0032432,movie,"Edison, the Man","Edison, the Man",0.0,1940,\N,107,"Biography,Drama",7.1,1435.0
tt0032612,22,The Howards of Virginia,\N,\N,original,\N,1,tt0032612,movie,The Howards of Virginia,The Howards of Virginia,0.0,1940,\N,116,"Drama,History,War",6.2,975.0
tt0032718,6,Little Nellie Kelly,\N,\N,original,\N,1,tt0032718,movie,Little Nellie Kelly,Little Nellie Kelly,0.0,1940,\N,98,"Comedy,Family,Musical",6.4,477.0
tt0033152,11,The Thief of Bagdad,\N,\N,original,\N,1,tt0033152,movie,The Thief of Bagdad,The Thief of Bagdad,0.0,1940,\N,106,"Adventure,Family,Fantasy",7.5,11019.0
tt0033159,4,Three Faces West,\N,\N,original,\N,1,tt0033159,movie,Three Faces West,Three Faces West,0.0,1940,\N,79,"Adventure,Drama,Romance",6.3,659.0
tt0033175,10,Torrid Zone,\N,\N,original,\N,1,tt0033175,movie,Torrid Zone,Torrid Zone,0.0,1940,\N,88,"Action,Adventure,Comedy",6.7,1139.0
tt0033477,5,Come Live with Me,\N,\N,original,\N,1,tt0033477,movie,Come Live with Me,Come Live with Me,0.0,1941,\N,86,"Comedy,Romance",7.1,1602.0
tt0033484,2,Confessions of Boston Blackie,\N,\N,original,\N,1,tt0033484,movie,Confessions of Boston Blackie,Confessions of Boston Blackie,0.0,1941,\N,65,"Crime,Drama,Mystery",6.5,387.0
tt0033565,3,Dutiful But Dumb,\N,\N,original,\N,1,tt0033565,short,Dutiful But Dumb,Dutiful But Dumb,0.0,1941,\N,17,"Comedy,Short",8.0,407.0
tt0033616,13,Footsteps in the Dark,\N,\N,original,\N,1,tt0033616,movie,Footsteps in the Dark,Footsteps in the Dark,0.0,1941,\N,96,"Comedy,Crime,Mystery",6.9,978.0
tt0033873,7,Man Hunt,\N,\N,original,\N,1,tt0033873,movie,Man Hunt,Man Hunt,0.0,1941,\N,105,"Drama,Thriller,War",7.3,4485.0
tt0033874,20,The Man Who Came to Dinner,\N,\N,original,\N,1,tt0033874,movie,The Man Who Came to Dinner,The Man Who Came to Dinner,0.0,1942,\N,112,"Comedy,Romance",7.6,6172.0
tt0033945,1,Never Give a Sucker an Even Break,\N,\N,original,\N,1,tt0033945,movie,Never Give a Sucker an Even Break,Never Give a Sucker an Even Break,0.0,1941,\N,71,"Comedy,Musical",7.2,2009.0
tt0034524,5,Blitz Wolf,\N,\N,original,\N,1,tt0034524,short,Blitz Wolf,Blitz Wolf,0.0,1942,\N,10,"Animation,Comedy,Family",7.1,1161.0
tt0034861,4,"Hold the Lion, Please",\N,\N,original,\N,1,tt0034861,short,"Hold the Lion, Please","Hold the Lion, Please",0.0,1942,\N,8,"Animation,Comedy,Family",7.3,418.0
tt0035017,17,La main du diable,\N,\N,original,\N,1,tt0035017,movie,Carnival of Sinners,La main du diable,0.0,1943,\N,78,"Fantasy,Horror",7.4,1042.0
tt0035209,12,Prelude to War,\N,\N,original,\N,1,tt0035209,movie,Prelude to War,Prelude to War,0.0,1942,\N,52,"Documentary,War",7.0,1706.0
tt0035228,3,O Pátio das Cantigas,\N,\N,original,\N,1,tt0035228,movie,The Courtyard of the Ballads,O Pátio das Cantigas,0.0,1942,\N,121,"Comedy,Musical",7.8,1030.0
tt0035555,10,Who Done It?,\N,\N,original,\N,1,tt0035555,movie,Who Done It?,Who Done It?,0.0,1942,\N,77,"Comedy,Film-Noir,Mystery",7.5,2052.0
tt0036052,3,Jack-Wabbit and the Beanstalk,\N,\N,original,\N,1,tt0036052,short,Jack-Wabbit and the Beanstalk,Jack-Wabbit and the Beanstalk,0.0,1943,\N,7,"Animation,Comedy,Family",7.2,257.0
